id,climate,energy,environment,resources,sustainability,dedicated
MECA31-MEXP,0,0,0,0,0,0
MECA31-INFO1,0,0,0,0,0,0
PF-ISP32-GRC1,0,0,0,0,0,0
PF-ISP32-OU2,0,0,0,0,0,0
PF-ISP32-TT2,0,0,0,0,0,0
PF-ISP32-SARI2,0,0,0,0,0,0
PF-E32-COST,0,0,0,0,0,0
PF-E32-BCAR,0,0,0,0,0,0
PF-E32-TSIC,0,0,0,0,0,0
PF-NI41 B3_MA2,0,0,0,0,0,0
PF-NI41 B3_SM1,0,0,0,0,0,0
PF-NI41 B3_MA1,0,0,0,0,0,0
PF-NI41 B3_SM2,0,0,0,0,0,0
PF-NI41 B3_MA3,0,0,0,0,0,0
PF-NI41 B3_SM3,0,0,0,0,0,0
PF-NI41 B4_SMMA3,0,0,0,0,0,0
PF-NI41 B4_SMMA,0,0,0,0,0,0
PF-NI41 B5_SMMA4,0,0,0,0,0,0
PF-NI41 B6_SMMA2,0,0,0,0,0,0
PF-II32-INFO,0,0,0,0,0,0
PF-II32-GESTION,0,0,0,0,0,0
PF-II32-ANGR,0,0,0,0,0,0
EP41-DYNGAZ,0,0,0,0,0,0
EP41-AERO ,0,0,0,0,0,0
EP41-TURB,0,0,0,0,0,0
EP41-MAIL ,0,0,0,0,0,0
GC31-Meca Struc1,0,0,0,0,0,0
GC31-Meca Struc2,0,0,0,0,0,0
GC31-APPBTP,0,0,0,0,0,0
GMAT31-MSRO-OD,0,0,0,0,0,0
GMAT31-MSRO-Mesures,0,0,0,0,0,0
GMAT31-Soutien-C,0,0,0,0,0,0
MECA31-PAM,0,0,0,0,0,0
MECA31-TPBE,0,0,0,0,0,0
MECA31-BE1,0,0,0,0,0,0
MECA31-RANINFO,0,0,0,0,0,0
PF-ISP32-STAT2,0,0,0,0,0,0
PF-ISP31-SPC,0,0,0,0,0,0
PF-ISP31-HSE,0,0,0,0,0,0
PF-ISP32-NUC1,0,0,0,0,0,0
PF-ISP32-MATH2,0,0,0,0,0,0
PF-E32-VBA,0,0,0,0,0,0
PF-E32-TPEA,0,0,0,0,0,0
PF-E32-AUTO,0,0,0,0,0,0
PF-E32-GPROJ,0,0,0,0,0,0
PF-NI41 B6_SMMA3,0,0,0,0,0,0
PF-NI41 B6_SMMA4,0,0,0,0,0,0
PF-NI41 B7_SMMA1,0,0,0,0,0,0
PF-NI41 EXPE,0,0,0,0,0,0
PF-II32-RTOEIC,0,0,0,0,0,0
PF-II32-ANG2,0,0,0,0,0,0
PF-II32-MKI,0,0,0,0,0,0
PF-II32-INDIV,0,0,0,0,0,0
EP41-SNE,0,0,0,0,0,0
EP41-CAO,0,0,0,0,0,0
EP41-STAT,0,0,0,0,0,0
H-41-ANG-EP,0,0,0,0,0,0
GC31-TOPOGR,0,0,0,0,0,0
GC31-GEO-APPL,0,0,0,0,0,0
H-341-FLE-GCCD,0,0,0,0,0,0
GMAT31-Soutien-Algo,0,0,0,0,0,0
GMAT31-INFO-C,0,0,0,0,0,0
GMAT31-INFO-Algo,0,0,0,0,0,0
GMAT31-Stage-RAN,0,0,0,0,0,0
MECA31-RANMATH,0,0,0,0,0,0
MECA31-RANBE,0,0,0,0,0,0
MECA31-RANRDM,0,0,0,0,0,0
MECA32-TPROBOT,0,0,0,0,0,0
PF-ISP32-MSP1,0,0,0,0,0,0
PF-ISP32-SCD,0,0,0,0,0,0
PF-ISP32-GPRO,0,0,0,0,0,0
PF-E32-GESTION,0,0,0,0,0,0
PF-E32-ANG-S,0,0,0,0,0,0
PF-E32-ANG,0,0,0,0,0,0
PF-E32-ANG-R,0,0,0,0,0,0
PF-E32-INDIV,0,0,0,0,0,0
PF-E32-EXPE,0,0,0,0,0,0
PF-E32-THERMO2,0,0,0,0,0,0
PF-II32-VISIT,0,0,0,0,0,0
PF-II32-EXPE,0,0,0,0,0,0
PF-II41-MSTRUC,0,0,0,0,0,0
H-41-APS-EP,0,0,0,0,0,0
EP41-INSAJOB,0,0,0,0,0,0
H-41-ANG-TEST-TOEIC,0,0,0,0,0,0
H-41-ALL-EP-MECA,0,0,0,0,0,0
H-3451-ALL-DEB1,0,0,0,0,0,0
H-41-ESP-EP-MECA,0,0,0,0,0,0
H-41-ESP-DPT-DEB,0,0,0,0,0,0
H-41-ANG-PREP-TOEIC,0,0,0,0,0,0
H-451-FLE-EP,0,0,0,0,0,0
H-3451-VEE-ECAO,0,0,0,0,0,0
H3451-SME-ORCH-ECAO,0,0,0,0,0,0
H-3451-ALL-DEB2,0,0,0,0,0,0
EP42-MAT,0,0,0,1,0,0
H-341-ALL-GCCD,0,0,0,0,0,0
H-31-GSH-GSF-GCCD,0,0,0,0,0,0
H-31-ANG-GCCD,0,0,0,0,0,0
H-341-ESP-GCCD,0,0,0,0,0,0
H-31-APS-GCCD,0,0,0,0,0,0
H-31-GSH-GP-GCCD,0,0,0,0,0,0
GC32-MECASTR3,0,0,0,0,0,0
GMAT31-PROJET1,0,0,0,0,0,0
H-31-GSF-GM,0,0,0,0,0,0
MECA32-INFO2,0,0,0,0,0,0
MECA32-MNUM1,0,0,0,0,0,0
MECA32-AIRFOIL,0,0,0,0,0,0
MECA32-CAO,0,0,0,0,0,0
MECA32-SFAO,0,0,0,0,0,0
MECA32-CSCS2,0,0,0,0,0,0
MECA3452-CONF,0,0,0,0,0,0
MECA32-MGEN,0,0,0,0,0,0
PF-ISP32-ANG,0,0,0,0,0,0
PF-ISP32-GSF1,0,0,0,0,0,0
PF-ISP32-GSF2,0,0,0,0,0,0
PF-ISP32-ANG-S,0,0,0,0,0,0
PF-ISP32-ANG-R,0,0,0,0,0,0
PF-ISP32-NEGO,0,0,0,0,0,0
PF-ISP32-ON,0,0,0,0,0,0
PF-ISP32-EXPE,0,0,0,0,0,0
PF-E32-TP1A2,0,0,0,0,0,0
PF-E32-BTHH,0,0,0,0,0,0
PF-E32-P2D,0,0,0,0,0,0
PF-E41-ENBAT1,0,0,0,0,0,0
ASI31-SE,0,0,0,0,0,0
PF-II41-MFLU2,0,0,0,0,0,0
PF-II41-MMC,0,0,0,0,0,0
PF-II41-MEXP ,0,0,0,0,0,0
PF-II41-FA1,0,0,0,0,0,0
PF-II41-GP2,0,0,0,0,0,0
EP42-AUTO,0,0,0,0,0,0
EP42-THSTAT,0,0,0,0,0,0
EP42-TMACH2,0,0,0,0,0,0
EP42-CONF,0,0,0,0,0,0
EP42-VIB,0,0,0,0,0,0
EP42-2PHAS,0,0,0,0,0,0
EP42-PIE,0,0,0,0,0,0
H-42-ANG-EP,0,0,0,0,0,0
GC32-BET-ARME,0,0,0,0,0,0
GC32-Concepstruc,0,0,0,0,0,0
GC32-APPBTP,0,0,0,0,0,0
H-31-APS-GM,0,0,0,0,0,0
H-31-ANG-GM,0,0,0,0,0,0
H-31-ALL-ASI-GM,0,0,0,0,0,0
H-31-ESP-GM,0,0,0,0,0,0
H-3451-FLE-GM,0,0,0,0,0,0
H-31-COM-GM,0,0,0,0,0,0
