id,climate,energy,environment,resources,sustainability,dedicated
STP03-JAP,0,0,0,0,0,0
STP03-ITA,0,0,0,0,0,0
STP03-CHI,0,0,0,0,0,0
GPM10-PFE,0,0,0,0,0,0
HUM06-CHI-ISP,0,0,0,0,0,0
HUM06-JAP-ISP,0,0,0,0,0,0
HUM06-SIM-ISP,0,0,0,0,0,0
HUM06-IMO-ISP,0,0,0,0,0,0
HUM06-RUS-ISP,0,0,0,0,0,0
HUM06-ESP-ISP,0,0,0,0,0,0
HUM06-ALL-ISP,0,0,0,0,0,0
HUM06-ANGL-ISP,0,0,0,0,0,0
DET06-RES,0,0,0,0,0,0
INF05-SDD,0,0,0,0,0,0
INF05-CPOO1,0,0,0,0,0,0
INF05-EP,0,0,0,0,0,0
INF05-PF,0,0,0,0,0,0
INF05-FUS,0,0,0,0,0,0
INF05-PL,0,0,0,0,0,0
INF05-HI,0,0,0,0,0,0
INF05-CLP,0,0,0,0,0,0
INF05-ADFD,0,0,0,0,0,0
DMA05-SE,0,0,0,0,0,0
DMA05-MNL,0,0,0,0,0,0
DMA05-ILM,0,0,0,0,0,0
DMA05-PYTHO,0,0,0,0,0,0
DMA05-MEDO,0,0,0,0,0,0
DMA05-AD,0,0,0,0,0,0
DMA05-REMED,0,0,0,0,0,0
EII08-RES,0,0,0,0,0,0
EII08-PROJ,0,0,0,0,0,0
EII08-STAGE,0,0,0,0,0,0
STP03-ESP,0,1,0,0,0,0
STP03-ALL,0,0,0,0,0,0
STP03-EPS,0,0,0,0,0,0
STP03-PPI,0,0,0,0,0,0
STP03-COMM,0,0,0,0,0,0
STP03-ANGL,0,0,0,0,0,0
STP03-STAG,0,0,0,0,0,0
STP03-AIE,0,0,0,0,0,0
STP03-PHYS,0,0,0,0,0,0
FIRE,0,0,0,0,0,0
STP03-ELEC,0,0,0,0,0,0
STP03-CHIM,0,0,0,0,0,0
STP03-THEN-FIRE,0,1,0,0,1,1
STP03-THEN,0,1,0,0,1,1
STP03-ACSA,0,0,0,0,0,0
STP03-ANAL3,0,0,0,0,0,0
STP03-MECA-FIRE,0,0,0,0,0,0
STP03-MECA,0,0,0,0,0,0
STP03-INFO,0,0,0,0,0,0
STP03-ALG3,0,0,0,0,0,0
GPM09-CONF,0,0,0,0,0,0
GPM09-PI,0,0,0,0,0,0
GPM09-ALP,0,0,0,0,0,0
GPM09-MAVA,0,0,0,0,0,0
GPM09-CIMO,0,0,0,0,0,0
GPM09-ONL,0,0,0,0,0,0
GPM09-OPTO,0,0,0,0,0,0
GPM09-BPMS,0,0,0,0,0,0
GPM09-NANO,0,0,0,0,0,0
GPM09-ENER,0,1,0,0,0,1
GPM09-CIMA,0,0,0,0,0,0
GPM09-SCND,0,0,0,0,0,0
GPM09-MACC,0,0,0,0,0,0
GPM09-BIO,0,0,0,0,0,0
GPM09-COMP,0,0,0,0,0,0
GPM09-MECA,0,0,0,0,0,0
DET06-DLS,0,0,0,0,0,0
DET06-AMI,0,0,0,0,0,0
DET06-COMSYS,0,0,0,0,0,0
DET06-SSPB,0,0,0,0,0,0
DET06-EWAB,0,0,0,0,0,0
DET06-ALS,0,0,0,0,0,0
HUMF1-APES DIV,0,0,0,0,0,0
INF05-PROBA,0,0,0,0,0,0
DMA05-Proba,0,0,0,0,0,0
DMA05-OMB,0,0,0,0,0,0
EII08-IAE,0,0,0,0,0,0
EII08-AI,0,0,0,0,0,0
EII08-LP,0,0,0,0,0,0
EII08-STR,0,0,0,0,0,0
